name,urn,phase,borough,postcode,latitude,longitude,bng_easting,bng_northing,laei_found,NO2_2022,NOx_2022,PM10_days_2022,PM10_mean_2022,PM25_2022
Bessemer Grange Primary School,130918,Primary,Southwark,SE5 8HP,51.458744,-0.086805,533015.0,175043.0,True,22.32,31.11,4.01,15.96,9.36
Bonneville Primary School,131247,Primary,Lambeth,SW4 9LB,51.453138,-0.139675,529358.0,174325.0,True,22.98,33.05,4.5,16.49,9.61
Hill Mead Primary School,131340,Primary,Lambeth,SW9 8UE,51.461964,-0.107328,531580.0,175364.0,True,23.35,33.43,4.73,16.74,9.59
Hitherfield Primary School,131824,Primary,Lambeth,SW16 2JQ,51.436089,-0.114988,531122.0,172472.9,True,21.53,29.59,3.62,15.51,9.22
Brunswick Park Primary School,131843,Primary,Southwark,SE5 7QH,51.478066,-0.088805,532820.0,177188.0,True,24.5,35.98,6.01,17.97,9.76
Henry Fawcett Primary School,131874,Primary,Lambeth,SE11 5BZ,51.484717,-0.111888,531198.0,177886.0,True,25.64,38.13,5.08,17.09,9.81
Jubilee Primary School,133662,Primary,Lambeth,SW2 2JE,51.452413,-0.114517,531108.0,174289.1,True,22.81,32.5,4.38,16.37,9.54
The Orchard School,134507,Primary,Lambeth,SW2 3ES,51.444437,-0.120184,530737.0,173392.0,True,23.53,34.91,4.48,16.47,9.61
Rye Oak Primary School,134903,Primary,Southwark,SE15 3PD,51.464525,-0.063154,534641.0,175729.0,True,23.02,33.49,4.61,16.61,9.59
Iqra Primary School,135614,Primary,Lambeth,SW4 9PA,51.45487,-0.130407,529997.0,174534.0,True,23.46,34.44,4.62,16.62,9.74
Dulwich Hamlet Junior School,136665,Primary,Southwark,SE21 7AL,51.450251,-0.087649,532981.0,174097.0,True,22.26,31.42,3.96,15.91,9.36
Corpus Christi Catholic Primary School,137295,Primary,Lambeth,SW2 5BL,51.456181,-0.120148,530706.0,174698.0,True,23.64,34.7,4.75,16.75,9.75
Harris Primary Academy Peckham Park,137413,Primary,Southwark,SE15 5TD,51.476813,-0.065629,534433.0,177090.9,True,24.0,35.44,5.39,17.39,9.75
Oasis Academy South Bank Primary,137430,Primary,Lambeth,SE1 7RH,51.500707,-0.111415,531185.0,179665.0,True,28.19,44.06,5.87,17.84,10.22
"Redriff Primary, City of London Academy",137648,Primary,Southwark,SE16 5LQ,51.501907,-0.036671,536369.0,179935.0,True,23.28,32.81,3.94,15.88,9.28
Judith Kerr Primary School,139907,Primary,Southwark,SE24 9JE,51.453046,-0.093103,532594.0,174398.0,True,23.09,33.61,4.28,16.26,9.59
John Donne Primary School,140507,Primary,Southwark,SE15 2SW,51.473046,-0.061324,534743.0,176680.0,True,23.51,34.19,5.36,17.36,9.61
Harris Primary Academy East Dulwich,140937,Primary,Southwark,SE22 8HA,51.455269,-0.076155,533765.0,174676.0,True,23.21,34.38,4.64,16.64,9.76
Angel Oak Academy,141666,Primary,Southwark,SE15 6FL,51.480398,-0.079087,533488.0,177465.0,True,23.93,34.42,5.06,17.07,9.55
The Belham Primary School,142090,Primary,Southwark,SE15 4DG,51.466063,-0.073584,533912.0,175881.0,True,23.16,33.74,4.69,16.69,9.75
"Galleywall Primary, City of London Academy",142875,Primary,Southwark,SE16 3PB,51.489841,-0.059474,534822.0,178551.0,True,25.44,38.93,5.36,17.36,9.75
Rosendale Primary School,144308,Primary,Lambeth,SE21 8LR,51.446175,-0.098052,532270.0,173625.0,True,22.74,32.78,3.97,15.91,9.4
Goose Green Primary and Nursery School,145130,Primary,Southwark,SE22 8HG,51.46143,-0.076731,533707.0,175360.0,True,24.45,37.48,4.92,16.93,9.86
"Christ Church, Streatham Church of England Primary School",145614,Primary,Lambeth,SW2 3NF,51.444747,-0.121539,530642.0,173424.0,True,23.81,35.7,4.6,16.6,9.66
St Leonard's Church of England Primary School,145615,Primary,Lambeth,SW16 6NP,51.427104,-0.135655,529711.0,171437.0,True,22.92,34.1,4.18,16.15,9.5
St Luke's Church of England Primary School,145616,Primary,Lambeth,SE27 0DZ,51.426808,-0.099906,532197.0,171468.0,True,21.85,31.4,3.83,15.76,9.35
John Keats Primary School,145888,Primary,Southwark,SE16 3FN,51.485532,-0.064266,534502.0,178063.0,True,25.64,39.36,5.59,17.58,9.91
Surrey Square Primary School,146117,Primary,Southwark,SE17 2JY,51.488744,-0.083,533192.0,178386.0,True,25.66,38.66,9.27,20.54,10.2
Van Gogh Primary,146368,Primary,Lambeth,SW9 6HF,51.474403,-0.111393,531262.0,176740.0,True,24.8,36.54,4.84,16.85,9.73
St Paul's Church of England Primary School,146669,Primary,Southwark,SE17 3DT,51.486336,-0.099146,532078.0,178089.0,True,25.02,36.47,5.61,17.6,9.77
Charles Dickens Primary School,148012,Primary,Southwark,SE1 1AF,51.501141,-0.096571,532214.0,179740.0,True,27.79,43.09,5.71,17.69,10.14
Lyndhurst Primary School,148574,Primary,Southwark,SE5 8SN,51.470366,-0.088133,532889.0,176333.0,True,23.46,33.57,4.44,16.43,9.48
St Joseph's Catholic Primary School,149346,Primary,Southwark,SE16 4UP,51.499611,-0.069505,534097.0,179619.0,True,26.17,39.78,5.44,17.44,9.85
Streatham Wells Primary,149556,Primary,Lambeth,SW2 3NJ,51.439963,-0.115979,531042.0,172902.0,True,22.11,31.08,3.83,15.76,9.33
Grove Primary School,149604,Primary,Southwark,SE22 8AB,51.465397,-0.08287,533269.0,175790.0,True,23.95,35.55,4.56,16.56,9.69
Rotherhithe Primary School,149605,Primary,Southwark,SE16 2PE,51.491579,-0.049864,535484.0,178762.0,True,24.34,35.88,4.52,16.52,9.54
St Anthony's Catholic Primary School,150551,Primary,Southwark,SE22 0LA,51.449682,-0.072115,534062.0,174062.1,True,22.2,31.81,4.03,15.99,9.36
Loughborough Primary School,150830,Primary,Lambeth,SW9 7UA,51.469553,-0.105056,531716.0,176212.0,True,23.64,33.7,4.49,16.48,9.53
St Joseph's Catholic Primary School,151012,Primary,Southwark,SE16 2TY,51.495022,-0.051935,535330.0,179141.0,True,24.06,34.67,4.46,16.45,9.46
St George's Cathedral Catholic Primary School,151500,Primary,Southwark,SE1 6HR,51.498381,-0.106584,531527.0,179415.0,True,27.17,41.08,5.32,17.32,10.0
